"License Permit ID","Premises County","Type","Class","Description","LegalName","DBA","Actual Address Of Premises","Additional Address Information","City","State Name","Zip Code","Original Issue Date","Last Issue Date","Effective Date","Expiration Date","Parent License ID","Legacy Serial Number","AKA Address","Georeference"
"0340-22-106991","Richmond","1","0340","Restaurant","MCMADD INC","GRIFF'S PLACE","702 NEW DORP LANE","NEW DROP LANE & HETT AVENUE","STATEN ISLAND","New York","10306","04/01/2025","04/01/2025","09/01/2024","08/31/2026",,"1226590",,"POINT (-74.10047 40.56586)"
"0240-23-142229","Richmond","1","0240","Restaurant","AVANTI PIZZA 1 INC","AVANTI PIZZA","170 NEW DORP LANE",,"STATEN ISLAND","New York","10306","04/30/2025","04/30/2025","05/01/2025","04/30/2027",,"1334685",,"POINT (-74.11514 40.57335)"
"0340-21-116837","Richmond","1","0340","Restaurant","SAKAI RAMEN INC","SAKAI RAMEN & IZAKAYA","965 RICHMOND AVE, STORE F",,"STATEN ISLAND","New York","10314","02/04/2025","02/04/2025","02/01/2024","01/31/2026",,"1320779",,"POINT (-74.14787 40.62349)"
"0240-23-139773","Richmond","1","0240","Restaurant","SANDWICH AND PICKLE LLC",,"1949 RICHMOND AVE","STORE #3","STATEN ISLAND","New York","10314","07/30/2025","07/30/2025","08/01/2025","07/31/2027",,"1353750",,"POINT (-74.16259 40.6004)"
"0240-23-142528","Richmond","1","0240","Restaurant","AVOCADO SUSHI I INC",,"4906 ARTHUR KILL RD","STE B","STATEN ISLAND","New York","10309","06/18/2025","06/18/2025","06/18/2025","01/31/2027",,"1347142",,"POINT (-74.23879 40.52253)"
"0240-23-142449","Richmond","1","0240","Restaurant","J.D.A.M. III LLC","CASA NINOS PIZZA BAR","1281 ARTHUR KILL RD","STORE #10 & #11","STATEN ISLAND","New York","10312","04/09/2025","04/09/2025","05/01/2025","04/30/2027",,"1347625",,"POINT (-74.18316 40.56622)"
"0240-23-139621","Richmond","1","0240","Restaurant","PIZZAIOLI INC",,"694 ARTHUR KILL RD",,"STATEN ISLAND","New York","10308","04/30/2025","04/30/2025","05/01/2025","04/30/2027",,"1347655",,"POINT (-74.16457 40.55966)"
"0240-25-112781","Richmond","1","0240","Restaurant","Rocky's Pizza Pasta Inc","Rocky's Pizza Bar","7339 Amboy Rd",,"Staten Island","New York","10307","06/05/2025","06/05/2025","06/05/2025","05/31/2027",,"6062423",,"POINT (-74.24186 40.51088)"
"0340-21-119872","Richmond","1","0340","Restaurant","ECLO INC","CIELO RISTORANTE","1435 HYLAN BLVD",,"STATEN ISLAND","New York","10305","10/07/2025","10/07/2025","12/01/2025","11/30/2027",,"1316386",,"POINT (-74.08692 40.5934)"
"0240-23-141005","Richmond","1","0240","Restaurant","MIKE'S PLACE AT OAKWOOD INC","MIKE'S OAKWOOD DINER","3161 AMBOY ROAD","CLARK AVE & AMBOY ROAD","STATEN ISLAND","New York","10306","03/27/2025","03/27/2025","04/01/2025","03/31/2027",,"1238858",,"POINT (-74.13388 40.56466)"
"0340-21-119430","Richmond","1","0340","Restaurant","MILLER'S ALE HOUSE INC","MILLER'S STATEN ISLAND ALE HOUSE","2883 RICHMOND AVE",,"STATEN ISLAND","New York","10312","09/15/2025","09/15/2025","11/01/2025","10/31/2027",,"1264932",,"POINT (-74.16942 40.57491)"
"0240-23-142187","Richmond","1","0240","Restaurant","MR PIZZA 1 INC","MR PIZZA","2325 RICHMOND AVE",,"STATEN ISLAND","New York","10314","01/23/2025","01/23/2025","02/01/2025","01/31/2027",,"1332598",,"POINT (-74.16429 40.59122)"
"0240-25-115808","Richmond","1","0240","Restaurant","Oishii Sushi Inc.",,"307 Nelson Avenue",,"Staten Island","New York","10308","07/07/2025","07/07/2025","07/07/2025","06/30/2027",,"6065467",,"POINT (-74.14555 40.54218)"
"0340-22-103843","Richmond","1","0340","Restaurant","1110 A S D RESTAURANT CORP","NINOS RESTAURANT","1110 HYLAN BLVD","LAMPORT BLVD & MALLORY STREET","STATEN ISLAND","New York","10305","11/18/2024","11/18/2024","12/01/2024","11/30/2026",,"1157348",,"POINT (-74.07984 40.59852)"
"0240-24-135652","Richmond","1","0240","Restaurant","AZE TACOS CORP","La Casa Del Taco","1368 Forest Ave",,"Staten Island","New York","10302","11/08/2024","11/08/2024","11/08/2024","10/31/2026",,"6044470",,"POINT (-74.13516 40.62548)"
"0240-23-140875","Richmond","1","0240","Restaurant","HETAL GROCERIES INC",,"635 N RAILROAD AVE","GARRETSON AVENUE","STATEN ISLAND","New York","10306","03/25/2025","03/25/2025","04/01/2025","03/31/2027",,"1182899",,"POINT (-74.09596 40.58913)"
"0340-22-107874","Richmond","1","0340","Restaurant","HYLAN SEAVER CAFFE LTD","CAFE BELLA VITA","1919 HYLAN BLVD",,"STATEN ISLAND","New York","10305","04/03/2025","04/03/2025","06/01/2024","05/31/2026",,"1043081",,"POINT (-74.0967 40.58314)"
"0240-25-115048","Richmond","1","0240","Restaurant","Yaho Sushi Inc.",,"51 Page Ave",,"Staten Island","New York","10309","06/25/2025","06/25/2025","06/25/2025","05/31/2027",,"6064696",,"POINT (-74.23466 40.52317)"
